Date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,PG,XOM
2015-05-13,28.16277,21.3435,26.772215,74.55078,49.090477,77.895874,40.88898,0.5046226,59.510876,54.86157
2015-05-14,28.819845,21.614,27.254076,75.499825,49.487587,80.80555,41.824722,0.5128122,60.16049,55.12142
2015-05-15,28.779621,21.3,27.11959,75.84829,49.36021,79.86214,41.464153,0.5130529,60.518917,55.362274
2015-05-18,29.096983,21.262,27.128527,76.67866,49.764805,80.31895,41.215202,0.51233065,60.28741,55.045372
2015-05-19,29.070158,21.0855,27.258043,77.07904,50.20686,80.07068,41.111523,0.5091364,60.35465,55.134106
2015-05-20,29.067928,21.193,27.418333,76.812164,49.809765,79.99125,41.111523,0.5091364,60.09329,55.22283
2015-05-21,29.365175,21.5815,27.631721,76.49098,49.93714,79.92173,40.97327,0.5055063,60.041027,55.27353
2015-05-22,29.622196,21.3815,27.518084,75.691895,49.802273,79.98131,40.523964,0.5047804,59.697525,54.836216
2015-05-26,28.969585,21.2735,27.15433,75.29605,49.247833,78.7797,40.256107,0.5016348,59.092747,54.094677
2015-05-27,29.510448,21.571,27.50468,75.527565,49.802273,79.99125,41.137436,0.52849495,59.279404,53.94257
2015-05-28,29.452337,21.3285,27.501207,75.54253,49.59998,79.59402,40.999187,0.53575456,59.23461,53.94257
2015-05-29,29.117096,21.4615,27.06153,74.78821,49.28528,78.64066,40.489395,0.53551257,58.532715,53.999584
2015-06-01,29.175205,21.546,27.254572,74.713524,49.51006,79.73304,40.809086,0.54156196,58.876194,53.95525
2015-06-02,29.045578,21.5495,27.489794,74.668724,49.46511,79.881996,40.54122,0.53091484,58.644722,53.96157
2015-06-03,29.081339,21.8295,27.556293,74.750854,49.974598,81.86811,40.480755,0.5251072,58.65965,53.84115
2015-06-04,28.91148,21.539,27.377642,74.108604,49.697388,81.480835,40.057373,0.5345446,58.353523,53.37848
2015-06-05,28.7528,21.3475,27.27045,73.63062,50.51405,81.5702,39.867283,0.5386582,57.81591,53.416515
2015-06-08,28.562834,21.175,26.970222,73.16012,50.11696,80.11041,39.51302,0.5263173,58.024963,53.777775
2015-06-09,28.477892,21.274,26.904715,73.34681,50.334236,80.11041,39.4439,0.528979,58.913548,53.606663
2015-06-10,28.804203,21.5385,27.422804,73.84719,51.143425,81.590065,40.273384,0.51954174,59.391396,54.00594
2015-06-11,28.73938,21.6485,27.295757,74.11605,51.33822,81.26235,40.12649,0.5251072,59.294334,53.929886
2015-06-12,28.422016,21.496,27.168226,73.45138,51.135914,80.96443,39.720383,0.51083,58.891148,53.251717
2015-06-15,28.36615,21.1835,26.9464,72.8091,50.941105,80.150116,39.296997,0.509862,58.331123,53.06158
2015-06-16,28.518124,21.363,27.0392,73.45884,51.225853,80.4977,39.59942,0.51615405,59.06287,53.670025
2015-06-17,28.451077,21.3905,27.125051,73.735176,51.053497,81.22264,39.720383,0.52220345,59.79464,53.701725
2015-06-18,28.580696,21.9695,27.600458,74.952515,51.533016,82.33486,40.36844,0.53091484,60.34719,54.177074
2015-06-19,28.294628,21.746,27.666956,74.579094,51.008556,81.93764,39.83271,0.52922094,60.13811,54.00594
2015-06-22,28.520365,21.8145,27.774145,74.750854,51.667885,84.15216,39.945053,0.5270431,60.07088,53.980595
2015-06-23,28.39073,22.2995,27.958254,74.51935,52.259796,87.27038,39.66855,0.51349205,59.57809,53.91721
2015-06-24,28.632107,22.042,27.71906,74.18327,51.712837,88.24359,39.435253,0.5084103,59.36902,53.670025
2015-06-25,28.495777,22.005,27.688295,74.026436,51.435623,87.3697,39.4439,0.51228195,59.279404,53.19467
2015-06-26,28.328156,21.905,27.445631,74.41478,51.660416,87.39949,39.10691,0.5018767,59.24206,53.150303
2015-06-29,27.831993,21.493,26.859556,72.95098,50.349216,85.20483,38.33791,0.48687363,58.48045,52.49116
2015-06-30,28.033136,21.7045,26.799511,72.786674,50.768795,85.175026,38.14783,0.48663157,58.420727,52.732002
2015-07-01,28.294628,21.8695,26.96129,73.54101,51.334404,86.30713,38.40703,0.49364915,59.525814,52.20596
2015-07-02,28.258871,21.8855,27.161776,73.51859,50.919624,86.68449,38.36384,0.49413326,59.682602,52.693993
